iter	RMSE
139	585.9650248
140	585.8874828
141	585.8137885
142	585.7792183
143	585.5025485
144	585.3821772
145	585.2581228
146	585.1754679
147	585.0531514
148	584.903886
149	584.7965852
150	584.720234
151	584.6607791
152	584.4810725
153	584.311903
154	584.1716731
155	584.1410596
156	583.9132656
157	583.8012254
158	583.7530998
159	583.6170579
160	583.4928513
161	583.3989377
162	583.2968322
163	583.238008
164	582.9263062
165	582.8099914
166	582.6756635
167	582.6541897
168	582.5693719
169	582.5004777
170	582.4451284
171	582.3783402
172	582.2727813
173	582.2382843
174	582.1385462
175	582.0644364
176	582.0366052
177	581.9804773
178	581.8872501
179	581.8460423
180	581.7752229
181	581.7645058
182	581.7444392
183	581.6875023
184	581.5751935
185	581.5476655
186	581.4793382
187	581.3813791
188	581.3295061
189	581.3282055
190	581.2342025
191	581.1224352
192	581.0221824
193	580.9917039
194	580.8357272
195	580.6954376
196	580.4984626
197	580.4189066
198	580.3562299
199	580.3168769
200	580.2038237
201	580.1647974
202	579.997491
203	579.9304598
204	579.8083945
205	579.7104052
206	579.6554287
207	579.5782223
208	579.5710543
209	579.5337489
210	579.3495185
211	579.269463
212	579.1600562
213	579.1381254
214	578.9984724
215	578.9125192
216	578.8815895
217	578.8733424
218	578.8149597
219	578.7477632
220	578.57619
221	578.5314883
222	578.4497531
223	578.4344893
224	578.4270503
225	578.3573436
226	578.274228
227	578.2668587
228	578.2574148
229	578.1883669
230	578.1139796
231	578.0820735
232	577.9497279
233	577.8594387
234	577.848722
235	577.8231362
236	577.7680514
237	577.5538535
238	577.4866342
239	577.4690542
240	577.3993395
241	577.2178649
242	577.1794278
243	577.0838133
244	576.9194016
245	576.8904033
246	576.8166534
247	576.7710748
248	576.7243675
249	576.6330155
250	576.5601041
251	576.5206499
252	576.4295983
253	576.3457075
254	576.2579633
255	576.2436002
256	576.0913171
257	576.0197284
258	575.9730448
259	575.930498
260	575.8758819
261	575.6323785
262	575.5912498
263	575.4486157
264	575.4313074
265	575.372927
266	575.3162504
267	575.2642481
268	575.186834
269	575.1397254
270	575.1079667
271	575.0898156
272	575.0387889
273	574.9664071
274	574.7565415
275	574.6872835
276	574.5896662
277	574.5217644
278	574.5041953
279	574.3739726
280	574.3001562
281	574.2985683
282	574.2240768
283	574.1586258
284	574.0070313
285	573.9170835
286	573.7951778
287	573.5649058
288	573.4219223
289	573.3811054
290	573.2274234
291	573.1736765
292	573.0590311
293	573.0360078
294	573.0000755
295	572.9641213
296	572.855753
297	572.7800366
298	572.6323948
299	572.4962643
300	572.4259747
301	572.3698137
302	572.2995031
303	572.2397758
304	572.171655
305	572.0914301
306	572.0572169
307	572.0366097
308	571.9420715
309	571.9380984
310	571.898413
311	571.8933294
312	571.8872522
313	571.8588478
314	571.793127
315	571.7011769
316	571.6931383
317	571.6141073
318	571.4973771
319	571.455931
320	571.4346923
321	571.3830015
322	571.2872046
323	571.2123836
324	571.1278816
325	571.0445292
326	570.9586236
327	570.9169089
328	570.851466
329	570.7947584
330	570.7166966
331	570.5851069
332	570.3394971
333	570.3381649
334	570.3225375
335	570.2802842
336	570.2082753
337	570.1505662
338	570.0713461
339	569.9828135
340	569.9623783
341	569.9617185
342	569.9605098
343	569.7065354
344	569.6509617
345	569.646302
346	569.6319713
347	569.5595395
348	569.476627
349	569.4250048
350	569.421482
351	569.2850982
352	569.1288099
353	568.9715876
354	568.7786183
355	568.7473894
356	568.65953
357	568.5370974
358	568.4948169
359	568.4195051
360	568.2641082
361	568.2262807
362	568.2236537
363	568.1659698
364	568.0846623
365	568.0209579
366	568.0019473
367	567.9167288
368	567.8615725
369	567.8186794
370	567.7009378
371	567.6985963
372	567.6973761
373	567.6968221
374	567.6964459
375	567.6863499
376	567.6685766
377	567.6316885
378	567.5804708
379	567.5337508
380	567.4628006
381	567.3488306
382	567.2534089
383	567.1571529
384	566.7864739
385	566.7218668
386	566.6393771
387	566.6316629
388	566.6039077
389	566.487817
390	566.385282
391	566.372478
392	566.3610466
393	566.2656236
394	566.2539872
395	566.2086728
396	566.1551796
397	566.0991618
398	566.0450827
399	565.9842801
400	565.9424072
401	565.8418686
402	565.8045567
403	565.8042772
404	565.7955517
405	565.712923
406	565.7043919
407	565.5952995
408	565.5313551
409	565.479835
410	565.4505936
411	565.4056165
412	565.3941981
413	565.3817129
414	565.357675
415	565.3497008
416	565.2980408
417	565.2574561
418	565.1743696
419	565.1043171
420	565.0908102
421	565.0829925
422	565.0313268
423	565.0238332
424	564.9593385
425	564.8947802
426	564.7894606
427	564.7821268
428	564.7410999
429	564.7340687
430	564.7115864
431	564.6170689
432	564.5538018
433	564.4503127
434	564.4434407
435	564.2679966
436	564.2361079
437	564.1927176
438	564.1861074
439	564.179312
440	564.0134154
441	564.0069486
442	563.9302096
443	563.7837808
444	563.7350931
445	563.5611418
446	563.5324788
447	563.5272607
448	563.5210397
449	563.4732417
450	563.4089957
451	563.3139141
452	563.3118905
453	563.2810908
454	563.2489658
455	563.2019532
456	563.0649293
457	563.0313472
458	562.8637504
459	562.805273
460	562.7485351
461	562.6041503
462	562.4629146
463	562.4306018
464	562.3597855
465	562.3298797
466	562.29244
467	562.2748673
468	562.2368335
469	562.1657071
470	562.0274513
471	562.0139714
472	561.9482103
473	561.878029
474	561.8540502
475	561.7762232
476	561.7050293
477	561.6801
478	561.540666
479	561.4384332
480	561.4280003
481	561.3711592
482	561.3443982
483	561.3365796
484	561.1340333
485	560.9985368
486	560.7362357
487	560.6991225
488	560.6578497
489	560.5579443
490	560.4889036
491	560.4876784
492	560.4272365
493	560.3918667
494	560.3493579
495	560.32664
496	560.2962367
497	560.2498857
498	560.1152112
499	560.0403202
500	560.0343241
501	560.0130018
502	559.9690922
503	559.8259464
504	559.8157566
505	559.7822063
506	559.7165308
507	559.6679844
508	559.5723198
509	559.5272577
510	559.5130319
511	559.4899809
512	559.4497703
513	559.4183507
514	559.4028937
515	559.3938792
516	559.3272344
517	559.2843708
518	559.2825659
519	559.2396088
520	559.2326131
521	559.1902788
522	559.0818786
523	559.0725484
524	559.0307435
525	558.90087
526	558.8856078
527	558.8758278
528	558.7976296
529	558.7499335
530	558.6417772
531	558.5919449
532	558.5270519
533	558.4925859
534	558.4841614
535	558.4194197
536	558.3956127
537	558.2778529
538	558.2089483
539	558.1515455
540	558.112274
541	558.071772
542	557.9735449
543	557.8985841
544	557.8930873
545	557.8720884
546	557.8165681
547	557.7643434
548	557.6373888
549	557.5867859
550	557.4514008
551	557.4208781
552	557.3864704
553	557.3243066
554	557.2625002
555	557.2394309
556	557.1452541
557	557.0839992
558	557.0812034
559	557.0222001
560	557.0106516
561	556.9314761
562	556.8192538
563	556.7718085
564	556.647527
565	556.6449214
566	556.5647281
567	556.4738587
568	556.452018
569	556.4248452
570	556.3858084
571	556.2900971
572	556.28515
573	556.2628817
574	556.2242216
575	556.2019324
576	556.1729594
577	556.1350413
578	556.132855
579	555.9426147
580	555.8427028
581	555.7750648
582	555.647978
583	555.5309949
584	555.481467
585	555.4619069
586	555.4605486
587	555.4368363
588	555.3982117
589	555.3528155
590	555.293511
591	555.1339147
592	555.0451245
593	555.0027348
594	554.8891993
595	554.7719454
596	554.7005744
597	554.6307407
598	554.618865
599	554.5883736
600	554.5860245
601	554.5772616
602	554.5400882
603	554.4765519
604	554.405382
605	554.2984639
606	554.2112309
607	554.1906564
608	554.130976
609	553.8439792
610	553.7006051
611	553.6875186
612	553.6021755
613	553.5659937
614	553.4800897
615	553.3979556
616	553.2490133
617	553.1961262
618	553.1949229
619	553.1429604
620	553.0560832
621	553.0362454
622	552.9991255
623	552.9882333
624	552.9415802
625	552.9008508
626	552.8797511
627	552.8617876
628	552.6933515
629	552.6573418
630	552.6412967
631	552.6055892
632	552.4646606
633	552.4113484
634	552.3161193
635	552.1796436
636	552.1520202
637	552.1319012
638	552.0852412
639	552.0542314
640	551.8907925
641	551.8899221
642	551.8450782
643	551.8260914
644	551.7905538
645	551.770835
646	551.6823737
647	551.6216108
648	551.5868137
649	551.4928168
650	551.3735664
651	551.2927561
652	551.2787417
653	551.1398617
654	551.08097
655	551.0750551
656	550.9627806
657	550.8175968
658	550.6865691
659	550.6242708
660	550.5448618
661	550.4953687
662	550.444838
663	550.3640708
664	550.3448718
665	550.2872946
666	550.1268132
667	550.1083372
668	550.0746772
669	550.074077
670	550.0551109
671	550.0006045
672	549.8736468
673	549.8433265
674	549.7766477
675	549.7758306
676	549.7407638
677	549.7383442
678	549.659962
679	549.6493993
680	549.4852704
681	549.4682621
682	549.4254842
683	549.3808088
684	549.2929279
685	549.1648013
686	548.9934426
687	548.9665958
688	548.8519532
689	548.8252585
690	548.747071
691	548.7144076
692	548.6884131
693	548.602201
694	548.5757496
695	548.5497462
696	548.54748
697	548.5243678
698	548.3916501
699	548.3435713
700	548.2519636
701	548.1628952
702	548.0552398
703	547.9411432
704	547.8228982
705	547.7900538
706	547.7468866
707	547.7288049
708	547.7123843
709	547.6946946
710	547.580219
711	547.4671686
712	547.4330526
713	547.4300826
714	547.4051854
715	547.2910484
716	547.2357809
717	547.2107458
718	547.209722
719	547.0788129
720	546.9336292
721	546.9002397
722	546.8972094
723	546.7863549
724	546.6939386
725	546.6199899
726	546.5666352
727	546.534988
728	546.4641288
729	546.4561834
730	546.4533443
731	546.436204
732	546.291301
733	546.1761151
734	546.1738947
735	546.0266436
736	545.9230261
737	545.8925779
738	545.8736759
739	545.8481177
740	545.8246069
741	545.7937895
742	545.741969
743	545.7271709
744	545.6948236
745	545.6246298
746	545.6153484
747	545.4862621
748	545.3662984
749	545.3457968
750	545.3411766
751	545.3385178
752	545.3307091
753	545.3026604
754	545.3004831
755	545.2836204
756	545.2808915
757	545.2403626
758	545.2070775
759	545.0904196
760	545.0766725
761	544.8973298
762	544.7945976
763	544.7750756
764	544.5487771
765	544.5179318
766	544.4183205
767	544.3878413
768	544.3853687
769	544.3327411
770	544.2694025
771	544.1727858
772	544.1569381
773	544.0917296
774	543.9575011
775	543.8268834
776	543.7329104
777	543.7200339
778	543.5740796
779	543.5578737
780	543.4865933
781	543.3953408
782	543.3628469
783	543.2997358
784	543.2735983
785	543.2522546
786	543.1233279
787	543.0357058
788	543.0231956
789	542.9725757
790	542.9566859
791	542.8666697
792	542.8000346
793	542.7485859
794	542.4948749
795	542.4742362
796	542.4557985
797	542.4271059
798	542.3717192
799	542.3086238
